Class	Method	English Term	Translated Term	Translated Term	Remarks	Example URL
Map_Search_AggregationViewer		Rotate: Edit the rotation value			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Satellite			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Satellite: Toggle Satellite Map Layer			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Save				
Map_Search_AggregationViewer		Save description				
Map_Search_AggregationViewer		Save Location Changes			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Save Overlay Changes			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Save Point Of Interest Set			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		save this Description				
Map_Search_AggregationViewer		Save to Temporary File				
Map_Search_AggregationViewer		Saved				
Map_Search_AggregationViewer		Saving...				
Map_Search_AggregationViewer	Add_Search_Box_HTML	Search Coordinates			When user has selected to show the coordinates selected	
Map_Search_AggregationViewer	Add_Search_Box_HTML	Select Area			For map searching	http://ufdc.ufl.edu/aerials/map
Map_Search_AggregationViewer	Add_Search_Box_HTML	Select Point			For map searching	http://ufdc.ufl.edu/aerials/map
Map_Search_AggregationViewer		Select the area to Draw the Overlay				
Map_Search_AggregationViewer		Selected Lat/Long			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer	Add_Search_Box_HTML	Show Coordinates				http://ufdc.ufl.edu/aerials/map
Map_Search_AggregationViewer		Showing				
Map_Search_AggregationViewer		Showing Overlays				
Map_Search_AggregationViewer		Showing POIs				
Map_Search_AggregationViewer		Tenth Degree Left: Click to Rotate a Tenth Degree Counter-Clockwise			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Tenth Degree Right: Click to Rotate a Tenth Degree Clockwise			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Terrain			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Terrain: Toggle Terrain Map Layer			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		"This will delete all of the POIs, are you sure?"				
Map_Search_AggregationViewer		"This will delete the geogarphic coodinate data for this item, are you sure?"				
Map_Search_AggregationViewer		"This will delete the geographic coordinate data for this overlay, are you sure?"				
Map_Search_AggregationViewer		Toggle All Map Overlays			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Toggle All Overlays On Map			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Toggle All POIs On Map			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Toggle on Map				
Map_Search_AggregationViewer		Toggle POIs on Map			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Toolbar			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Toolbar: Toggle the Toolbar			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Toolbox			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Toolbox: Toggle Toolbox			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Transparency			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Transparency: Set the transparency of this Overlay			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Up: Pan Map Up			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Use Search Result As Location			Tooltips set from the sobekcm_map_editor.js file	
Map_Search_AggregationViewer		Using Search Results as Location				
Map_Search_AggregationViewer		View			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Warning! This will erase any changes you have made. Do you still want to proceed?				
Map_Search_AggregationViewer		Working...				
Map_Search_AggregationViewer		Zoom			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Zoom In			Content menubar innerHTML added from the JS file	
Map_Search_AggregationViewer		Zoom Out			Content menubar innerHTML added from the JS file	
						
Metadata_Browse_AggregationViewer	Add_Search_Box_HTML	Browse by %1			"i.e., Browse by Title.  When metadata browsing, appears in gray box at top"	http://www.dloc.com/l/browseby/country
Metadata_Browse_AggregationViewer	Add_Secondary_HTML	Browse By:			Text on the facet box to the left	http://www.dloc.com/l/browseby/country/1
Metadata_Browse_AggregationViewer	Add_Secondary_HTML	Public Browses			Then all public browses are lists	http://www.dloc.com/l/browseby/country/1
Metadata_Browse_AggregationViewer	Add_Secondary_HTML	Internal Browses			Only shows up if logged on as internal user	http://www.dloc.com/l/browseby/country/1
Metadata_Browse_AggregationViewer	Add_Secondary_HTML	Select a metadata field to browse by from the list on the left			Instructions appears sometimes	
Metadata_Browse_AggregationViewer	Add_Secondary_HTML	NO MATCHING VALUES			Displays if there no metadata values returned in the browse	
						
Newspaper_Search_AggregationViewer	Add_Search_Box_HTML	Search for:			Used in search box for newspaper-specific searches	http://dloc.com/fdnl
Newspaper_Search_AggregationViewer	Add_Search_Box_HTML	in			Used in search box for newspaper-specific searches	
Newspaper_Search_AggregationViewer	Add_Search_Box_HTML	Full Citation			Used in search box for newspaper-specific searches	
Newspaper_Search_AggregationViewer	Add_Search_Box_HTML	Full Text			Used in search box for newspaper-specific searches	
Newspaper_Search_AggregationViewer	Add_Search_Box_HTML	Newspaper Title			Used in search box for newspaper-specific searches	
Newspaper_Search_AggregationViewer	Add_Search_Box_HTML	Location			Used in search box for newspaper-specific searches	
Newspaper_Search_AggregationViewer		Go				
						
No_Search_AggregationViewer	Add_Search_Box_HTML	%1 Home			%1=collection name.  Used in rare case that no search is selected for the collection home	
						
Private_Items_AggregationViewer	Add_Search_Box_HTML	BibID / VID			"Sort by options for the administrative view on all non-public items, accessible from the internal header in aggregations"	
Private_Items_AggregationViewer	Add_Search_Box_HTML	Title / VID			"Sort by options for the administrative view on all non-public items, accessible from the internal header in aggregations"	
Private_Items_AggregationViewer	Add_Search_Box_HTML	Last Activity Date (most recent first)			"Sort by options for the administrative view on all non-public items, accessible from the internal header in aggregations"	
Private_Items_AggregationViewer	Add_Search_Box_HTML	Last Milestone Date (most recent first)			"Sort by options for the administrative view on all non-public items, accessible from the internal header in aggregations"	
Private_Items_AggregationViewer	Add_Search_Box_HTML	Last Activity Date (oldest first)			"Sort by options for the administrative view on all non-public items, accessible from the internal header in aggregations"	
Private_Items_AggregationViewer	Add_Search_Box_HTML	Last Milestone Date (oldest first)			"Sort by options for the administrative view on all non-public items, accessible from the internal header in aggregations"	
Private_Items_AggregationViewer	Add_Search_Box_HTML	Private and Dark Items			Title for the administrative view on all non-public items	
Private_Items_AggregationViewer	Add_Secondary_HTML	ERROR PULLING INFORMATION FROM DATABASE				
Private_Items_AggregationViewer	Add_Secondary_HTML	This collection does not include any PRIVATE or DARK items.				
Private_Items_AggregationViewer	Add_Secondary_HTML	Below is the list of all items linked to this aggregation which are either private (in process) or dark.				
Private_Items_AggregationViewer	Add_Secondary_HTML	There is only one matching item.				
Private_Items_AggregationViewer	Add_Secondary_HTML	There are a total of %1 titles.				
Private_Items_AggregationViewer	Add_Secondary_HTML	There are a total of %1 items in one title.				
Private_Items_AggregationViewer	Add_Secondary_HTML	There are a total of %1 items in %2 titles.				
Private_Items_AggregationViewer	Add_Secondary_HTML	Title				
Private_Items_AggregationViewer	Add_Secondary_HTML	Last Activity				
Private_Items_AggregationViewer	Add_Secondary_HTML	Last Milestone				
Private_Items_AggregationViewer	Add_Secondary_HTML	Dated %1			Used for publication date display ( to differentiate from milestone dates)	
Private_Items_AggregationViewer	Add_Secondary_HTML	record created			Name of the last milestons performed	
Private_Items_AggregationViewer	Add_Secondary_HTML	scanned			Name of the last milestons performed	
Private_Items_AggregationViewer	Add_Secondary_HTML	processed			Name of the last milestons performed	
Private_Items_AggregationViewer	Add_Secondary_HTML	quality control			Name of the last milestons performed	
Private_Items_AggregationViewer	Add_Secondary_HTML	online completed			Name of the last milestons performed	
Private_Items_AggregationViewer	Add_Secondary_HTML	unknown milestone			Name of the last milestons performed	
Private_Items_AggregationViewer	Add_Secondary_HTML	% days ago			"i.e., '32 days ago'. - time since last milestone or activity"	
Private_Items_AggregationViewer		First Page				
Private_Items_AggregationViewer		Previous Page				
Private_Items_AggregationViewer		Next Page				
Private_Items_AggregationViewer		Last Page				
Private_Items_AggregationViewer		%1 volumes out of %2 total volumes				
						
Rotating_Highlight_Search_AggregationViewer	Add_Search_Box_HTML	Search Collection:			On the special rotating image search box on home pages	http://www.dloc.com
						
Usage_Statistics_AggregationViewer	Add_Search_Box_HTML	History of Collection-Level Usage			Admin view on usage statistics for aggregation from internal header	
Usage_Statistics_AggregationViewer	Add_Search_Box_HTML	History of Item Usage			Admin view on usage statistics for aggregation from internal header	
Usage_Statistics_AggregationViewer	Add_Search_Box_HTML	Most Accessed Titles			Admin view on usage statistics for aggregation from internal header	
Usage_Statistics_AggregationViewer	Add_Search_Box_HTML	Most Accessed Items			Admin view on usage statistics for aggregation from internal header	
Usage_Statistics_AggregationViewer	Add_Search_Box_HTML	Definitions of Terms Used			Admin view on usage statistics for aggregation from internal header	
Usage_Statistics_AggregationViewer	Add_Secondary_HTML	Collection Views			Admin view on usage statistics for aggregation from internal header	
Usage_Statistics_AggregationViewer	Add_Secondary_HTML	Item Views			Admin view on usage statistics for aggregation from internal header	
Usage_Statistics_AggregationViewer	Add_Secondary_HTML	Top Titles			Admin view on usage statistics for aggregation from internal header	
Usage_Statistics_AggregationViewer	Add_Secondary_HTML	Top Items			Admin view on usage statistics for aggregation from internal header	
Usage_Statistics_AggregationViewer	Add_Secondary_HTML	Definitions			Admin view on usage statistics for aggregation from internal header	
Usage_Statistics_AggregationViewer	add_collection_usage_history	Usage history for this collection is displayed below. This history includes just the top-level views of the collection.			Admin view on usage statistics for aggregation from internal header	
Usage_Statistics_AggregationViewer		Definitions page provides more details about the statistics and words used below.			Admin view on usage statistics for aggregation from internal header	
Usage_Statistics_AggregationViewer	add_collection_usage_history	Date			Admin view on usage statistics for aggregation from internal header	
Usage_Statistics_AggregationViewer	add_collection_usage_history	Total Views			Admin view on usage statistics for aggregation from internal header	
Usage_Statistics_AggregationViewer	add_collection_usage_history	Visits			Admin view on usage statistics for aggregation from internal header	
Usage_Statistics_AggregationViewer	add_collection_usage_history	Main Pages			Admin view on usage statistics for aggregation from internal header	
Usage_Statistics_AggregationViewer	add_collection_usage_history	Browses				
Usage_Statistics_AggregationViewer	add_collection_usage_history	Search Results				
Usage_Statistics_AggregationViewer	add_collection_usage_history	Title Views				
Usage_Statistics_AggregationViewer	add_item_usage_history	Usage history for the items within this collection are displayed below.				
Usage_Statistics_AggregationViewer	add_item_usage_history	JPEG Views				
Usage_Statistics_AggregationViewer	add_item_usage_history	Zoomable Views				
Usage_Statistics_AggregationViewer	add_item_usage_history	Citation Views				
Usage_Statistics_AggregationViewer	add_item_usage_history	Thumbnail Views				
Usage_Statistics_AggregationViewer	add_item_usage_history	Text Searches				
Usage_Statistics_AggregationViewer	add_item_usage_history	Flash Views			Items which are utilizing Adobe Flash files	
Usage_Statistics_AggregationViewer	add_item_usage_history	Map Views				
Usage_Statistics_AggregationViewer	add_item_usage_history	Download Views			Views on the page which lists the downloads	
Usage_Statistics_AggregationViewer	add_item_usage_history	Static Views			"Views on the static pages, which is how search engines index system"	
Usage_Statistics_AggregationViewer	add_items_by_collection	The most commonly utilized items for this collection appear below.				
Usage_Statistics_AggregationViewer		Title				
Usage_Statistics_AggregationViewer		Views				
Usage_Statistics_AggregationViewer	add_titles_by_collection	The most commonly utilized titles by collection appear below.				
Usage_Statistics_AggregationViewer		%1 Statistics				
Usage_Statistics_AggregationViewer		Collection Hierarchy				
Usage_Statistics_AggregationViewer		Collection Groups				
Usage_Statistics_AggregationViewer		Collections				
Usage_Statistics_AggregationViewer		SubCollections				
Usage_Statistics_AggregationViewer		Titles and Items				
Usage_Statistics_AggregationViewer		BibID				
Usage_Statistics_AggregationViewer		VID				
						
Contact_HtmlSubwriter	constructor	The following information is collected to allow us better serve your needs.			Included in emails sent from the system via the 'Contact Us' feature	
Contact_HtmlSubwriter	constructor	PERSONAL INFORMATION				
Contact_HtmlSubwriter	constructor	Name:				
Contact_HtmlSubwriter	constructor	Email:				
Contact_HtmlSubwriter	constructor	[ %1 Submission ]			"Included at the end of the subject line for emails sent ( i.e., ""[ dLOC Submission ]"")"	
Contact_HtmlSubwriter		Submit				
Contact_HtmlSubwriter		Cancel				
Contact_HtmlSubwriter	Write_HTML	Your email has been sent.			Prompts for the automatic contact us form in the system	http://www.dloc.com/dloc1/contact
Contact_HtmlSubwriter	Write_HTML	Click here to return to the digital collection home			Prompts for the automatic contact us form in the system	http://www.dloc.com/dloc1/contact
Contact_HtmlSubwriter	Write_HTML	Click here to close this tab in your browser			Prompts for the automatic contact us form in the system	http://www.dloc.com/dloc1/contact
Contact_HtmlSubwriter	Write_HTML	Contact Us			Prompts for the automatic contact us form in the system	http://www.dloc.com/dloc1/contact
Contact_HtmlSubwriter	Write_HTML	Please complete the following required fields:			Prompts for the automatic contact us form in the system	http://www.dloc.com/dloc1/contact
Contact_HtmlSubwriter	Write_HTML	Enter a subject here:			Prompts for the automatic contact us form in the system	http://www.dloc.com/dloc1/contact
Contact_HtmlSubwriter	Write_HTML	Describe your question or problem here:			Prompts for the automatic contact us form in the system	http://www.dloc.com/dloc1/contact
Contact_HtmlSubwriter	Write_HTML	"May we contact you?  If so, please provide the following information:"			Prompts for the automatic contact us form in the system	http://www.dloc.com/dloc1/contact
Contact_HtmlSubwriter	Write_HTML	Enter your name here:			Prompts for the automatic contact us form in the system	http://www.dloc.com/dloc1/contact
Contact_HtmlSubwriter	Write_HTML	Enter your e-mail address here:			Prompts for the automatic contact us form in the system	http://www.dloc.com/dloc1/contact
						
Error_HtmlSubwriter	Write_HTML	The item indicated was not valid.			"Used when an item was indicated, but not valid"	
Error_HtmlSubwriter	Write_HTML	Click here to report an error.			"Used when an item was indicated, but not valid"	
Error_HtmlSubwriter	Write_HTML	Unknown error occurred.			Used for an unexpected error being encountered	
Error_HtmlSubwriter	Write_HTML	We apologize for the inconvenience.			Used for an unexpected error being encountered	
Error_HtmlSubwriter	Write_HTML	Click here to return to the library.			Used for an unexpected error being encountered	
Error_HtmlSubwriter	Write_HTML	Click here to report the problem.			Used for an unexpected error being encountered	
						
Internal_HtmlSubwriter	Write_HTML	Collection Hierarchy			"Internal view, must be logged on as internal user."	put /internal at the end of your base URL
Internal_HtmlSubwriter	Write_HTML	Active and Inactive Collections			"Internal view, must be logged on as internal user."	put /internal at the end of your base URL
Internal_HtmlSubwriter	Write_HTML	New Items			"Internal view, must be logged on as internal user."	put /internal at the end of your base URL
Internal_HtmlSubwriter	Write_HTML	Newly Added or Modified Items			"Internal view, must be logged on as internal user."	put /internal at the end of your base URL
Internal_HtmlSubwriter	Write_HTML	Memory Management			"Internal view, must be logged on as internal user."	put /internal at the end of your base URL
Internal_HtmlSubwriter	Write_HTML	Current Memory Profile			"Internal view, must be logged on as internal user."	put /internal at the end of your base URL
Internal_HtmlSubwriter	Write_HTML	Wordmarks			"Internal view, must be logged on as internal user."	put /internal at the end of your base URL
Internal_HtmlSubwriter	Write_HTML	Build Failures			"Internal view, must be logged on as internal user."	put /internal at the end of your base URL
Internal_HtmlSubwriter	Write_HTML	Build Failure Logs			"Internal view, must be logged on as internal user."	put /internal at the end of your base URL
Internal_HtmlSubwriter	Write_HTML	Internal Users Only			If unauthorized for this view	
Internal_HtmlSubwriter	Write_HTML	You are not authorized to access this view.			"Internal view, must be logged on as internal user."	put /internal at the end of your base URL
Internal_HtmlSubwriter	Write_HTML	Click here to return to the digital library home page.				
						
Internal_HtmlSubwriter	add_build_failures	The data below shows errors which occurred while loading new items through the builder.  These can be displayed by month and year below by selecting the start and end month.  These failures will continue to display until they are manually cleared or until the item successfully loads after the failure or warning.			When listing build failures within the internal view	put /internal/failures at the end of your base URL
Internal_HtmlSubwriter	add_build_failures	Selected Date Range			When listing build failures within the internal view	put /internal/failures at the end of your base URL
Internal_HtmlSubwriter	add_build_failures	"The failures and warnings which were encountered during build are searchable below, by month:"			When listing build failures within the internal view	put /internal/failures at the end of your base URL
Internal_HtmlSubwriter	add_build_failures	From:			When listing build failures within the internal view	put /internal/failures at the end of your base URL
Internal_HtmlSubwriter	add_build_failures	To:			When listing build failures within the internal view	put /internal/failures at the end of your base URL
Internal_HtmlSubwriter	add_build_failures	"To change the date shown, choose your dates above and hit the GO button."			When listing build failures within the internal view	put /internal/failures at the end of your base URL
Internal_HtmlSubwriter	add_build_failures	Build Failures and Warnings			When listing build failures within the internal view	put /internal/failures at the end of your base URL
Internal_HtmlSubwriter	add_build_failures	No uncleared warnings or failures for the selected date range.			When listing build failures within the internal view	put /internal/failures at the end of your base URL
Internal_HtmlSubwriter	add_build_failures	METS Type			"Type of METS file ( i.e., New, Delete, etc..)"	put /internal/failures at the end of your base URL
Internal_HtmlSubwriter	add_build_failures	Description			Header for the column describing the failure	put /internal/failures at the end of your base URL
						
Internal_HtmlSubwriter	add_cache_html	GLOBAL VALUES			When displaying the list of items in the local web server cache	put /internal/cache at the end of your base URL
Internal_HtmlSubwriter	add_cache_html	APPLICATION STATE VALUES			When displaying the list of items in the local web server cache	put /internal/cache at the end of your base URL
Internal_HtmlSubwriter	add_cache_html	LOCALLY CACHED OBJECTS			When displaying the list of items in the local web server cache	put /internal/cache at the end of your base URL
Internal_HtmlSubwriter	add_cache_html	REMOTELY CACHED OBJECTS			When displaying the list of items in the local web server cache	put /internal/cache at the end of your base URL
Internal_HtmlSubwriter	add_cache_html	SESSION STATE VALUES			When displaying the list of items in the local web server cache	put /internal/cache at the end of your base URL
Internal_HtmlSubwriter	add_cache_html	INSTANCE NAME			When displaying the list of items in the local web server cache	put /internal/cache at the end of your base URL
Internal_HtmlSubwriter	add_cache_html	KEY			When displaying the list of items in the local web server cache	put /internal/cache at the end of your base URL
Internal_HtmlSubwriter	add_cache_html	OBJECT			When displaying the list of items in the local web server cache	put /internal/cache at the end of your base URL
Internal_HtmlSubwriter	add_cache_html	UNKNOWN OBJECT TYPE			When displaying the list of items in the local web server cache	put /internal/cache at the end of your base URL
Internal_HtmlSubwriter	add_cache_html	( none )			Used when no matching value in the cache	put /internal/cache at the end of your base URL
						
Internal_HtmlSubwriter	add_single_aggregation_html	Select one of the aggregation types below to view information about all aggregations of that type.			Currently this view is not linked to?	
Internal_HtmlSubwriter	add_single_aggregation_html	All Aggregation Types			Currently this view is not linked to?	
Internal_HtmlSubwriter	add_single_aggregation_html	Parent Aggregations			Header for listing parents of an aggregation	
Internal_HtmlSubwriter	add_single_aggregation_html	Child Aggregations			Header for listing all child aggregations	
Internal_HtmlSubwriter	add_single_aggregation_html	Active Aggregations			For dividing list between active and inactive aggregations	
Internal_HtmlSubwriter	add_single_aggregation_html	Inactive Aggregations			For dividing list between active and inactive aggregations	
						
Internal_HtmlSubwriter	add_aggregations_master_list_html	"Below is the complete master list of all aggregations within this library.  This includes all active aggregations, as well as all hidden or inactive collections."			For listing all aggregations in the system	put /internal/aggregations at the end of your base URL
Internal_HtmlSubwriter	add_aggregations_master_list_html	Click here to sort by DATE ADDED			For listing all aggregations in the system	put /internal/aggregations at the end of your base URL
Internal_HtmlSubwriter	add_aggregations_master_list_html	Click here to sort by CODE			For listing all aggregations in the system	put /internal/aggregations at the end of your base URL
Internal_HtmlSubwriter	add_aggregations_master_list_html	SobekCM Code			For listing all aggregations in the system	put /internal/aggregations at the end of your base URL
Internal_HtmlSubwriter	add_aggregations_master_list_html	Type			For listing all aggregations in the system	put /internal/aggregations at the end of your base URL
Internal_HtmlSubwriter	add_aggregations_master_list_html	Name			For listing all aggregations in the system	put /internal/aggregations at the end of your base URL
Internal_HtmlSubwriter	add_aggregations_master_list_html	Date Added			For listing all aggregations in the system	put /internal/aggregations at the end of your base URL
						
Internal_HtmlSubwriter	add_new_item_html	METS TYPE			"Type of METS file ( i.e., New, Delete, etc..) - List of all recently added or changed items in system"	put /internal/new at the end of your base URL
Internal_HtmlSubwriter	add_new_item_html	USER			List of all recently added or changed items in system	put /internal/new at the end of your base URL
Internal_HtmlSubwriter	add_new_item_html	ALL			List of all recently added or changed items in system	put /internal/new at the end of your base URL
Internal_HtmlSubwriter	add_new_item_html	ONLINE EDITS			List of all recently added or changed items in system	put /internal/new at the end of your base URL
Internal_HtmlSubwriter	add_new_item_html	ONLINE SUBMITS			List of all recently added or changed items in system	put /internal/new at the end of your base URL
Internal_HtmlSubwriter	add_new_item_html	VISIBILITY CHANGES			List of all recently added or changed items in system	put /internal/new at the end of your base URL
Internal_HtmlSubwriter	add_new_item_html	BULK LOADED			List of all recently added or changed items in system	put /internal/new at the end of your base URL
Internal_HtmlSubwriter	add_new_item_html	POST-PROCESSED			List of all recently added or changed items in system	put /internal/new at the end of your base URL
Internal_HtmlSubwriter	add_new_item_html	NO NEW ITEMS			List of all recently added or changed items in system	put /internal/new at the end of your base URL
Internal_HtmlSubwriter	add_new_item_html	There have been an unusually large number of updates over the last week.			List of all recently added or changed items in system	put /internal/new at the end of your base URL
Internal_HtmlSubwriter	add_new_item_html	Select the update type tab above to view the details.			List of all recently added or changed items in system	put /internal/new at the end of your base URL
Internal_HtmlSubwriter	add_new_item_html	NO INFORMATION FOR YOUR SELECTION				
						
LegacyUrl_HtmlSubwriter	Write_HTML	Deprecated URL detected			Used if an old-style URL is used with ?i=#### in the URL	http://www.dloc.com/?i=23333
LegacyUrl_HtmlSubwriter	Write_HTML	The URL you entered is a legacy URL.  Support for this URL will end shortly.			Used if an old-style URL is used with ?i=#### in the URL	http://www.dloc.com/?i=23333
LegacyUrl_HtmlSubwriter	Write_HTML	Please update your records to the new URL below:			Used if an old-style URL is used with ?i=#### in the URL	http://www.dloc.com/?i=23333
						
Preferences_HtmlSubwriter	Write_HTML	Preferences			Allows user to enter their preferences for some display options	http://www.dloc.com/l/preferences  (when logged on)
Preferences_HtmlSubwriter	Write_HTML	Language:			Allows user to enter their preferences for some display options	http://www.dloc.com/l/preferences  (when logged on)
Preferences_HtmlSubwriter	Write_HTML	Return			Allows user to enter their preferences for some display options	http://www.dloc.com/l/preferences  (when logged on)
Preferences_HtmlSubwriter	Write_HTML	Default View:			Allows user to enter their preferences for some display options	http://www.dloc.com/l/preferences  (when logged on)
Preferences_HtmlSubwriter	Write_HTML	Default Sort:			Allows user to enter their preferences for some display options	http://www.dloc.com/l/preferences  (when logged on)
						
Print_Item_HtmlSubwriter	Write_HTML	Title:			Creates a simpler page for printing purposes when printing an item	
Print_Item_HtmlSubwriter	Write_HTML	URL:			Creates a simpler page for printing purposes when printing an item	
Print_Item_HtmlSubwriter	Write_HTML	Site:			"(i.e., label for name of site, as in Site: Digital Library of the Carribea)  Creates a simpler page for printing purposes when printing an item"	
						
Public_Folder_HtmlSubwriter	Write_HTML	Public Bookshelf			"If a user makes their bookshelf public, this is used to display it"	
Public_Folder_HtmlSubwriter		%1 Home				
						
Search_Results_HtmlSubwriter	Write_HTML	Modify your search			Used as main tabs when viewing search results	
Search_Results_HtmlSubwriter	Write_HTML	New Search			Used as main tabs when viewing search results	
						
Statistics_HtmlSubwriter	Write_HTML	Item Count			Allows usage stats and item counts to be displayed	http://dloc.com/statistics
Statistics_HtmlSubwriter	Write_HTML	Usage Statistics			Allows usage stats and item counts to be displayed	http://dloc.com/statistics
Statistics_HtmlSubwriter	Write_HTML	Recent Searches			Allows usage stats and item counts to be displayed	http://dloc.com/statistics
Statistics_HtmlSubwriter	Write_HTML	Resource count in %1			%1 = code for SobekCM instance.  Allows usage stats and item counts to be displayed	http://dloc.com/statistics
Statistics_HtmlSubwriter	Write_HTML	Recent searches in %1			%1 = code for SobekCM instance.  Allows usage stats and item counts to be displayed	http://dloc.com/statistics
Statistics_HtmlSubwriter	Write_HTML	Usage statistics for %1			%1 = code for SobekCM instance.  Allows usage stats and item counts to be displayed	http://dloc.com/statistics
Statistics_HtmlSubwriter	Write_HTML	Standard View				http://dloc.com/statistics
Statistics_HtmlSubwriter	Write_HTML	FYTD Growth View			FYTD = Fiscal Year To Date	http://dloc.com/statistics
Statistics_HtmlSubwriter	Write_HTML	Arbitrary Dates			Allows admin to select any arbitrary dates for stats	http://dloc.com/statistics
Statistics_HtmlSubwriter	Write_HTML	Overall Stats			Tabs for different views on usage 	http://dloc.com/stats/usage
Statistics_HtmlSubwriter	Write_HTML	Collections by Date			Tabs for different views on usage 	
Statistics_HtmlSubwriter	Write_HTML	Item Views by Date			Tabs for different views on usage 	
Statistics_HtmlSubwriter	Write_HTML	Collection History			Tabs for different views on usage 	
Statistics_HtmlSubwriter	Write_HTML	Top Titles			Tabs for different views on usage 	
Statistics_HtmlSubwriter	Write_HTML	Definitions			Tabs for different views on usage 	
Statistics_HtmlSubwriter		Browse Partners				
Statistics_HtmlSubwriter		Advanced Search				
Statistics_HtmlSubwriter	add_items_by_collection	The most commonly accessed items by collection appear below.				http://dloc.com/stats/usage/items/top
Statistics_HtmlSubwriter		The Definitions page provides more details about the statistics and words used below.				http://dloc.com/stats/usage/items/top
Statistics_HtmlSubwriter		Selected Collection				http://dloc.com/stats/usage/items/top
Statistics_HtmlSubwriter	Write_HTML	The most commonly accessed items below are displayed for the following collection:				http://dloc.com/stats/usage/items/top
Statistics_HtmlSubwriter		From:			Prompt for the dropdown list of all colections	http://dloc.com/stats/usage/items/top
Statistics_HtmlSubwriter		"To change the collection shown, choose the collection above and hit the GO button."				http://dloc.com/stats/usage/items/top
Statistics_HtmlSubwriter	add_items_by_collection	Most Accessed Items				http://dloc.com/stats/usage/items/top
Statistics_HtmlSubwriter	add_items_by_collection	The data below shows the most commonly accessed items within the collection above.				http://dloc.com/stats/usage/items/top
Statistics_HtmlSubwriter	add_items_by_collection	Click here to view the most commonly accessed TITLES				http://dloc.com/stats/usage/items/top
Statistics_HtmlSubwriter	add_items_by_collection	Views				http://dloc.com/stats/usage/items/top
Statistics_HtmlSubwriter	add_titles_by_collection	The most commonly utilized titles by collection appear below.				http://dloc.com/stats/usage/titles/top
Statistics_HtmlSubwriter	add_titles_by_collection	The most commonly accessed titles below are displayed is for the following collection:				http://dloc.com/stats/usage/titles/top
Statistics_HtmlSubwriter	add_titles_by_collection	Most Accessed Titles				http://dloc.com/stats/usage/titles/top
Statistics_HtmlSubwriter	add_titles_by_collection	The data below shows the most commonly accessed titles within the collection above.				http://dloc.com/stats/usage/titles/top
Statistics_HtmlSubwriter	add_titles_by_collection	Click here to view the most commonly accessed ITEMS				http://dloc.com/stats/usage/titles/top
Statistics_HtmlSubwriter	add_usage_by_date_text	"Below is the collection and item-level details for your provided date range in comma-seperated value form.  To use the data below, cut and paste it into a CSV or text file.  The resulting file can be opened in a variety of applications, including OpenOffice and Microsoft Excel."				http://dloc.com/stats/usage/history/text/textallAFRICA1
Statistics_HtmlSubwriter		Select Collection				
Statistics_HtmlSubwriter		By Name				
Statistics_HtmlSubwriter	add_item_views_by_date	Below are the details about the specialized views for items aggregated at the collection levels.				http://ufdc.ufl.edu/stats/usage/items
Statistics_HtmlSubwriter	add_item_views_by_date	"For the number of times collections were viewed or searched, see Collections by Date."				http://ufdc.ufl.edu/stats/usage/items
Statistics_HtmlSubwriter		Selected Date Range				http://ufdc.ufl.edu/stats/usage/items
Statistics_HtmlSubwriter	add_item_views_by_date	The usage for all items appears below for the following date range:				http://ufdc.ufl.edu/stats/usage/items
Statistics_HtmlSubwriter		To:				http://ufdc.ufl.edu/stats/usage/items
Statistics_HtmlSubwriter		"To change the date shown, choose your dates above and hit the GO button."				http://ufdc.ufl.edu/stats/usage/items
Statistics_HtmlSubwriter		Summary by Collection				http://ufdc.ufl.edu/stats/usage/items
Statistics_HtmlSubwriter		NO USAGE STATISTICS EXIST FOR YOUR SELECTION				http://ufdc.ufl.edu/stats/usage/items
